Date,Race Name,Distance,Direction,Surface,Condition,Finish Position,Finish Time,Entry Fee,Winnings,Weight Carried,FF (Overall),FF (Early),FF (Mid),FF (Late),Entrants,Link,Horse Name,Age,Fleet Figure,Gender,Stable Name,Horse Price,Horse Status,Starts(W-P-S),Career Earnings,Largest Purse,Career Injuries,Horse ID
"09/19/23, 03:42 AM",Fresh Water Commemorative Stakes,8,Right,Dirt,Fast,8,100.24170239888448,850.0,0.0,0,44,3,8,8,8,https://photofinish.live/races/season0006-custom-fresh-water-commemorative-stakes-1322,Sol Snatcher,Age 6,47,Mare,Shooting Stars,"82,000.00",Ready to Race!,36 (4-7-3),"29,086.62","9,024.00",0,1
"09/16/23, 11:40 PM",Community Challenge Allowance,5,Right,Dirt,Fast,2,59.78532491606532,600.0,956.8,2,54,7,2,2,7,https://photofinish.live/races/season0006-custom-community-challenge-allowance-553,Sol Snatcher,Age 6,47,Mare,Shooting Stars,"82,000.00",Ready to Race!,36 (4-7-3),"29,086.62","9,024.00",0,1
"09/16/23, 12:30 AM",Gold Coast Dash Handicap,4,Right,Dirt,Yielding,10,47.0424980789399,600.0,0.0,0,45,11,8,10,12,https://photofinish.live/races/season0006-custom-gold-coast-dash-handicap-2065,Sol Snatcher,Age 6,47,Mare,Shooting Stars,"82,000.00",Ready to Race!,36 (4-7-3),"29,086.62","9,024.00",0,1
"09/11/23, 09:54 PM",Diamondback Challenge Allowance,7,Right,Dirt,Good,9,87.0532458261436,600.0,0.0,2,43,5,9,9,9,https://photofinish.live/races/season0006-custom-diamondback-challenge-allowance-530,Sol Snatcher,Age 6,47,Mare,Shooting Stars,"82,000.00",Ready to Race!,36 (4-7-3),"29,086.62","9,024.00",0,1
"09/10/23, 04:40 AM",National History Allowance,10,Right,Dirt,Sloppy,5,131.91322104313102,600.0,0.0,3,41,5,5,5,5,https://photofinish.live/races/season0006-custom-national-history-allowance-531,Sol Snatcher,Age 6,47,Mare,Shooting Stars,"82,000.00",Ready to Race!,36 (4-7-3),"29,086.62","9,024.00",0,1
"09/08/23, 02:30 AM",Crossroad Allowance,6,Right,Dirt,Good,7,72.47980189561116,750.0,0.0,2,49,1,4,7,12,https://photofinish.live/races/season0006-custom-crossroad-allowance-517,Sol Snatcher,Age 6,47,Mare,Shooting Stars,"82,000.00",Ready to Race!,36 (4-7-3),"29,086.62","9,024.00",0,1
"09/06/23, 02:48 AM",Champagne Allowance,8,Right,Dirt,Fast,5,100.0755948053758,600.0,110.2,2,49,5,2,5,11,https://photofinish.live/races/season0006-custom-champagne-allowance-506,Sol Snatcher,Age 6,47,Mare,Shooting Stars,"82,000.00",Ready to Race!,36 (4-7-3),"29,086.62","9,024.00",0,1
"08/12/23, 01:43 AM",Pigtown Allowance,7,Right,Dirt,Fast,4,86.37234294235037,1087.5,0.0,3,51,1,2,4,5,https://photofinish.live/races/season0005-KJGbZUHSs0aW5AdjLp9gJA,Sol Snatcher,Age 6,47,Mare,Shooting Stars,"82,000.00",Ready to Race!,36 (4-7-3),"29,086.62","9,024.00",0,1
"08/09/23, 01:20 AM",Yellow River Allowance,9,Right,Dirt,Fast,6,114.30459269852732,848.25,0.0,2,48,2,2,6,6,https://photofinish.live/races/season0005-RCRCRwxNZky1ZHMVaXWtXQ,Sol Snatcher,Age 6,47,Mare,Shooting Stars,"82,000.00",Ready to Race!,36 (4-7-3),"29,086.62","9,024.00",0,1
"08/07/23, 08:38 PM",Skyscraper Allowance,7,Right,Dirt,Good,1,86.01243035454557,848.25,2822.97,2,54,1,3,1,8,https://photofinish.live/races/season0005-5JNbVjQOMEmuIKMZRj2WGQ,Sol Snatcher,Age 6,47,Mare,Shooting Stars,"82,000.00",Ready to Race!,36 (4-7-3),"29,086.62","9,024.00",0,1
"08/03/23, 11:12 PM",Dragon Allowance,8,Right,Dirt,Good,6,100.94378859466156,1087.5,0.0,3,47,7,7,6,7,https://photofinish.live/races/season0005-LnfEvk2VH0C9oXlnMoIj7A,Sol Snatcher,Age 6,47,Mare,Shooting Stars,"82,000.00",Ready to Race!,36 (4-7-3),"29,086.62","9,024.00",0,1
"07/31/23, 01:53 AM",Water Tower Allowance,8,Right,Dirt,Good,4,100.08089932586668,848.25,0.0,2,51,6,2,4,6,https://photofinish.live/races/season0004-mim3hSV2DUatMR8BFlJoUg,Sol Snatcher,Age 6,47,Mare,Shooting Stars,"82,000.00",Ready to Race!,36 (4-7-3),"29,086.62","9,024.00",0,1
"07/28/23, 05:13 AM",Catalina Allowance,7,Right,Dirt,Good,3,86.38229912711671,1087.5,991.8,2,54,2,4,3,6,https://photofinish.live/races/season0004-Ar9lICyIRUWN3gP9FiZiFg,Sol Snatcher,Age 6,47,Mare,Shooting Stars,"82,000.00",Ready to Race!,36 (4-7-3),"29,086.62","9,024.00",0,1
"07/25/23, 04:48 AM",Painted Desert Allowance,7,Right,Dirt,Fast,6,86.5377995741773,848.25,0.0,2,50,3,7,6,7,https://photofinish.live/races/season0004-j5afFKDx_kuCvUECkO5_HQ,Sol Snatcher,Age 6,47,Mare,Shooting Stars,"82,000.00",Ready to Race!,36 (4-7-3),"29,086.62","9,024.00",0,1
"07/24/23, 12:30 AM",Terracotta Allowance,8,Right,Dirt,Fast,3,100.13289320747224,700.0,425.6,2,51,1,2,3,4,https://photofinish.live/races/season0004-WDQ_FYFEA0eLwuqs99iEgg,Sol Snatcher,Age 6,47,Mare,Shooting Stars,"82,000.00",Ready to Race!,36 (4-7-3),"29,086.62","9,024.00",0,1
"07/22/23, 05:06 AM",Pluto Allowance,4,Right,Dirt,Fast,5,47.124355459324896,609.0,0.0,2,46,4,8,5,8,https://photofinish.live/races/season0004-Dyn6fBo0wEeVVMSE3nRi1g,Sol Snatcher,Age 6,47,Mare,Shooting Stars,"82,000.00",Ready to Race!,36 (4-7-3),"29,086.62","9,024.00",0,1
"07/21/23, 12:47 AM",Cherry Blossom Allowance,7,Right,Dirt,Good,1,86.33164194101985,1087.5,2349.0,3,55,5,3,1,5,https://photofinish.live/races/season0004-OWR16D6AHES-GNBXg234MA,Sol Snatcher,Age 6,47,Mare,Shooting Stars,"82,000.00",Ready to Race!,36 (4-7-3),"29,086.62","9,024.00",0,1
"07/17/23, 11:21 PM",Wild and Wonderful Handicap,5,Right,Dirt,Fast,6,59.3336850872112,1240.0,0.0,0,55,2,6,6,12,https://photofinish.live/races/season0004-W_z0iSsKp0m0pWBFVBZYig,Sol Snatcher,Age 6,47,Mare,Shooting Stars,"82,000.00",Ready to Race!,36 (4-7-3),"29,086.62","9,024.00",0,1
"06/27/23, 11:10 PM",El Castillo Handicap,8,Right,Dirt,Good,5,100.45157818329837,1240.0,0.0,2,51,5,5,5,5,https://photofinish.live/races/season0003-b1mCZA_0AUmqn63A-nqNcQ,Sol Snatcher,Age 6,47,Mare,Shooting Stars,"82,000.00",Ready to Race!,36 (4-7-3),"29,086.62","9,024.00",0,1
"06/08/23, 07:30 PM",Tiger Hill Allowance,7,Right,Dirt,Yielding,10,86.63674363105443,609.0,0.0,3,56,11,11,10,12,https://photofinish.live/races/season0003-cuDb6cJ5gUSGVWMS89QPkA,Sol Snatcher,Age 6,47,Mare,Shooting Stars,"82,000.00",Ready to Race!,36 (4-7-3),"29,086.62","9,024.00",0,1
"06/04/23, 02:46 AM",Rising Sun Handicap,6,Right,Dirt,Good,9,72.22006378127084,600.0,0.0,1,52,11,11,9,12,https://photofinish.live/races/season0003-8MBWsn3Z-0GfnWJaiuG2ZA,Sol Snatcher,Age 6,47,Mare,Shooting Stars,"82,000.00",Ready to Race!,36 (4-7-3),"29,086.62","9,024.00",0,1
"06/01/23, 12:51 AM",Kimono Handicap,6,Right,Dirt,Fast,10,71.89335675394706,1560.0,0.0,0,56,4,10,10,12,https://photofinish.live/races/season0003-pyqvIlMXskus1fdDRHWcmw,Sol Snatcher,Age 6,47,Mare,Shooting Stars,"82,000.00",Ready to Race!,36 (4-7-3),"29,086.62","9,024.00",0,1
"05/31/23, 12:25 AM",Monterey Bay Handicap,7,Right,Dirt,Good,1,86.00710965983698,1880.0,9024.0,2,61,9,8,1,12,https://photofinish.live/races/season0003-UzrrM8fQTEiUGlC-s5mtmQ,Sol Snatcher,Age 6,47,Mare,Shooting Stars,"82,000.00",Ready to Race!,36 (4-7-3),"29,086.62","9,024.00",0,1
