Date,Race Name,Distance,Direction,Surface,Condition,Finish Position,Finish Time,Entry Fee,Winnings,Weight Carried,FF (Overall),FF (Early),FF (Mid),FF (Late),Entrants,Link
"08/22/23, 07:44 PM","Barossa Valley Claiming 10K","4","Left","Dirt","Good","9","46.997226180304324","550","0","0","54","9","11","9","11","https://photofinish.live/races/season0005-custom-barossa-valley-claiming-548"
"08/09/23, 04:58 AM","Ramen Allowance","4","Left","Dirt","Yielding","10","46.57501510854754","700","0","2","60","8","9","10","12","https://photofinish.live/races/season0005-ZHHC-9XQkEKke1zrjX2ONg"
"08/06/23, 07:44 PM","Blue Mountain Claiming 5K","4","Left","Dirt","Good","2","46.50739485544028","350","560","0","64","6","5","2","8","https://photofinish.live/races/season0005-custom-blue-mountain-claiming-68"
"08/04/23, 07:44 PM","Barossa Valley Claiming 10K","5","Left","Dirt","Fast","10","59.69157564913179","550","0","0","56","3","7","10","12","https://photofinish.live/races/season0005-custom-barossa-valley-claiming-356"
"07/27/23, 03:34 AM","Sun Valley Claiming 10K","8","Left","Dirt","Soft","6","100.53973344535895","250","0","0","63","7","6","6","12","https://photofinish.live/races/season0004-TxZScPdHFUiycxGFUqV1oQ"
"07/19/23, 07:31 PM","Faultline Claiming 10K","6","Left","Dirt","Fast","5","71.64773579183512","250","0","0","64","8","4","5","8","https://photofinish.live/races/season0004-nJkzoyyup0G_MfbG9p7odw"
"07/18/23, 08:12 PM","Tiger Hill Claiming 20K","12","Left","Dirt","Soft","4","160.46717663254944","500","0","0","41","4","4","4","4","https://photofinish.live/races/season0004-custom-tiger-hill-claiming-321962"
"07/12/23, 05:11 AM","Silk Claiming 10K","6","Left","Dirt","Fast","8","72.1014605195922","250","0","0","54","7","5","8","11","https://photofinish.live/races/season0004-bftKr0uhLEel42TxXDTj_g"
"07/01/23, 10:09 PM","Orpheum Claiming 15K","10","Left","Dirt","Yielding","4","128.65053950441197","375","0","0","48","3","3","4","4","https://photofinish.live/races/season0003--jztbhfaWkeywr_HYCSeDw"
"06/27/23, 10:44 PM","Whittington Claiming 30K","5","Left","Dirt","Good","8","60.08912344784954","750","0","0","56","3","7","8","8","https://photofinish.live/races/season0003-Q16i-iVXSk-GivokwgnQXg"
"06/12/23, 08:27 PM","Los Cruces Claiming 10K","6","Left","Dirt","Soft","2","72.14884498625133","250","484","0","69","7","8","2","11","https://photofinish.live/races/season0003-HQ6BmrNlOUmuqfl52VvS4Q"
"05/28/23, 11:20 PM","Hollywood Claiming 15K","5","Left","Dirt","Fast","1","59.21338040680885","375","648","0","73","3","1","1","4","https://photofinish.live/races/season0002-dJiaQ16tgUi02kRrAbye2Q"
"05/23/23, 02:15 AM","Golden Gate Claiming 15K","6","Left","Dirt","Yielding","7","72.1617726447592","375","0","0","67","2","5","7","12","https://photofinish.live/races/season0002-9ywgUraCx0SWjcukaTdyMA"
"05/14/23, 09:23 PM","Los Aztecas Maiden","7","Left","Dirt","Fast","11","86.23613831784924","400","0","0","57","1","7","11","11","https://photofinish.live/races/season0002-Arfi7L_5ekitMOmOTC10Dg"
"05/07/23, 07:32 PM","Pacifica Allowance","8","Left","Dirt","Yielding","11","99.63999693135904","1896","0","3","66","2","11","11","11","https://photofinish.live/races/season0002-8whPKVz6R0iUGG_5fzPRNQ"
